epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.0004,2.8774514496326447,8.203125,2.397895336151123,8.333333333333334
2,0.0006,2.8739430606365204,9.765625,2.3969919681549072,9.166666666666666
3,0.0008,2.8196102380752563,14.16015625,2.2757158279418945,18.333333333333332
4,0.001,2.6638574302196503,22.94921875,2.256183624267578,18.333333333333332
5,0.001,2.381347671151161,27.83203125,2.341202974319458,17.5
6,0.0009995658008989348,2.2585885524749756,27.44140625,1.8695805072784424,33.333333333333336
7,0.0009982639653285047,2.1690165996551514,28.3203125,1.8896397352218628,25.0
8,0.0009960967771506667,2.1266801804304123,34.47265625,1.7671613693237305,40.0
9,0.0009930680383499,2.0151659175753593,38.18359375,1.7004280090332031,40.833333333333336
10,0.0009891830623632338,1.8649435490369797,42.3828125,1.6952828168869019,43.333333333333336
11,0.0009844486647586726,1.724176861345768,50.390625,1.6877349615097046,39.166666666666664
12,0.0009788731512783732,1.6158454567193985,53.61328125,1.4802778959274292,45.833333333333336
13,0.0009724663032675532,1.5321457386016846,57.6171875,1.4134353399276733,50.0
14,0.0009652393605146844,1.4836834445595741,57.51953125,1.287030816078186,55.0
15,0.0009572050015330874,1.4320061653852463,60.3515625,1.4505746364593506,49.166666666666664
16,0.0009483773213185094,1.3784996345639229,62.01171875,1.2660255432128906,58.333333333333336
17,0.0009387718066217125,1.359725721180439,63.37890625,1.3771413564682007,56.666666666666664
18,0.0009284053087794509,1.3451270014047623,63.28125,1.1548659801483154,60.0
19,0.0009172960141514993,1.3082755282521248,65.8203125,1.641252040863037,42.5
20,0.000905463412215599,1.2707120552659035,69.62890625,1.1923948526382446,68.33333333333333
21,0.0008929282613762907,1.259086735546589,69.04296875,1.2493759393692017,65.0
22,0.0008797125525476194,1.2169189378619194,70.80078125,1.3508965969085693,55.0
23,0.0008658394705735987,1.2245993167161942,70.41015625,1.131661295890808,64.16666666666667
24,0.0008513333535541159,1.2044846564531326,73.4375,1.2897917032241821,59.166666666666664
25,0.0008362196501476348,1.2171841487288475,72.75390625,1.0649230480194092,65.0
26,0.0008205248749256015,1.1725403778254986,75.9765625,1.0564639568328857,68.33333333333333
27,0.0008042765618568757,1.1526281535625458,75.09765625,1.2052881717681885,62.5
28,0.0007875032160037938,1.093470398336649,77.44140625,1.0440154075622559,74.16666666666667
29,0.0007702342635146033,1.053218711167574,79.6875,1.0027323961257935,70.0
30,0.0007524999999999999,1.0337020717561245,80.95703125,1.035302996635437,69.16666666666667
31,0.0007343315373843317,1.0372860208153725,79.8828125,0.9807512164115906,70.0
32,0.0007157607493247111,1.0220773965120316,79.98046875,1.0381048917770386,72.5
33,0.000696820215293791,0.992706298828125,83.49609375,1.0359539985656738,67.5
34,0.0006775431634242986,0.987602774053812,82.51953125,1.0138461589813232,65.0
35,0.000657963412215599,0.9670278802514076,83.59375,0.9255021214485168,75.0
36,0.0006381153112045565,0.9461073577404022,84.66796875,0.9997161626815796,69.16666666666667
37,0.0006180336807047746,0.9164028540253639,84.66796875,0.9420228004455566,77.5
38,0.0005977537507199337,0.9144912548363209,85.15625,1.0821713209152222,69.16666666666667
39,0.0005773110991383938,0.8924234323203564,86.5234375,1.0260347127914429,70.0
40,0.0005567415893174885,0.8738612085580826,87.3046875,1.0376050472259521,68.33333333333333
41,0.0005360813071670102,0.9075066931545734,84.375,1.0005524158477783,72.5
42,0.0005153664978422617,0.8487791009247303,87.890625,0.9901332855224609,73.33333333333333
43,0.0004946335021577383,0.8468549326062202,87.59765625,0.869707465171814,77.5
44,0.00047391869283298986,0.8370248563587666,87.3046875,0.9159306287765503,78.33333333333333
45,0.0004532584106825116,0.8285743705928326,88.28125,0.9096956253051758,78.33333333333333
46,0.0004326889008616063,0.8153389021754265,87.98828125,0.8913418054580688,73.33333333333333
47,0.0004122462492800662,0.8086120449006557,90.234375,0.9429606199264526,75.83333333333333
48,0.0003919663192952254,0.775334645062685,90.91796875,0.8844557404518127,76.66666666666667
49,0.00037188468879544354,0.7971825003623962,88.8671875,0.8251849412918091,77.5
50,0.0003520365877844011,0.7677706405520439,90.91796875,0.8735987544059753,79.16666666666667
51,0.0003324568365757016,0.7693895660340786,90.52734375,0.9433712363243103,74.16666666666667
52,0.00031317978470620905,0.7720171697437763,90.0390625,0.9278764724731445,72.5
53,0.0002942392506752891,0.7590591087937355,91.11328125,0.8651443123817444,78.33333333333333
54,0.00027566846261566856,0.7425913214683533,90.91796875,0.8804469704627991,78.33333333333333
55,0.00025750000000000013,0.745358157902956,92.1875,0.8835468888282776,77.5
56,0.00023976573648539656,0.7491640038788319,91.89453125,0.8509972095489502,80.0
57,0.00022249678399620637,0.7294839806854725,91.9921875,0.9179500937461853,78.33333333333333
58,0.00020572343814312448,0.7213874198496342,92.96875,0.8984655141830444,76.66666666666667
59,0.0001894751250743986,0.7177253365516663,92.3828125,0.912951648235321,76.66666666666667
60,0.00017378034985236535,0.7205286771059036,92.3828125,0.8864967823028564,75.83333333333333
61,0.0001586666464458841,0.7151682488620281,92.08984375,0.8508262038230896,78.33333333333333
62,0.0001441605294264014,0.7241828516125679,92.96875,0.9267647862434387,75.83333333333333
63,0.00013028744745238063,0.7025232017040253,93.5546875,0.9316661357879639,78.33333333333333
64,0.00011707173862370933,0.7037758529186249,93.45703125,0.9427103400230408,75.83333333333333
65,0.00010453658778440106,0.7013970836997032,93.45703125,0.9412375688552856,74.16666666666667
66,9.270398584850077e-05,0.7078267149627209,92.96875,0.8316178321838379,79.16666666666667
67,8.159469122054923e-05,0.6900781914591789,93.26171875,0.8893791437149048,77.5
68,7.122819337828763e-05,0.7000722177326679,94.04296875,0.863037645816803,77.5
69,6.162267868149062e-05,0.6925266534090042,93.9453125,0.8590444326400757,80.83333333333333
70,5.279499846691252e-05,0.6849112510681152,93.84765625,0.8851175904273987,81.66666666666667
71,4.4760639485315584e-05,0.6844972372055054,94.3359375,0.8923344612121582,76.66666666666667
72,3.7533696732446905e-05,0.7014595679938793,94.140625,0.9371336698532104,76.66666666666667
73,3.112684872162672e-05,0.6839768625795841,94.04296875,0.9848393201828003,74.16666666666667
74,2.555133524132762e-05,0.68764553591609,94.53125,0.8684426546096802,79.16666666666667
75,2.081693763676618e-05,0.6819518469274044,93.65234375,0.8544334173202515,80.0
76,1.6931961650100087e-05,0.6777655519545078,94.921875,0.8847604990005493,75.83333333333333
77,1.3903222849333507e-05,0.6855466216802597,94.23828125,0.8695201873779297,79.16666666666667
78,1.1736034671495337e-05,0.6742592453956604,94.921875,0.9318054914474487,76.66666666666667
79,1.0434199101065101e-05,0.6849339827895164,93.5546875,0.901651918888092,78.33333333333333
80,1e-05,0.6737410128116608,94.62890625,0.9306095838546753,75.83333333333333
